중개사무소명,소재지도로명주소,소재지지번주소,위도,경도
늘푸름공인중개사사무소,"서울특별시 성북구 돌곶이로 220 , 상가동 1층 104-110호 (장위동, 꿈의숲코오롱하늘채아파트)",,37.61898673,127.0465289
세종공인중개사사무소,"서울특별시 성북구 돌곶이로 220 , 상가동 1층 105-108-1호 (장위동, 꿈의숲코오롱하늘채아파트)",,37.61898673,127.0465289
단지내1번지(02-912-0055)공,"서울특별시 성북구 돌곶이로40길 46 ,  상가5동 1층 5호  (장위동, 꿈의숲 아이파크)",,37.61866075,127.0489591
한아름공인중개사사무소,서울특별시 중랑구 공릉로18길 59 상가동105호,서울특별시 중랑구 묵동 387 상가동105호,37.61857859,127.0813642
OK브라운공인중개사사무소,"서울특별시 중랑구 공릉로18길 59 상가동 104호(묵동, 브라운스톤태릉아파트)","서울특별시 중랑구 묵동 387 상가동 104호(묵동, 브라운스톤태릉아파트)",37.61857859,127.0813642
청구믿음공인중개사사무소,서울특별시 중랑구 공릉로18길 72 (묵동),서울특별시 중랑구 묵동 48-23,37.61813142,127.0829556
이수공인중개사사무소,서울특별시 중랑구 공릉로12가길 70 (묵동),서울특별시 중랑구 묵동 49-39,37.61802444,127.0831042
온나라공인중개사사무소,서울특별시 성북구 돌곶이로39길 2 (장위동),,37.61798754,127.0469826
대성공인중개사사무소,서울특별시 중랑구 공릉로12가길 68-5,서울특별시 중랑구 묵동 43-9,37.61791712,127.0832074
지산데시앙공인중개사사무소,서울특별시 중랑구 신내역로3길 40-36 지하1층 RB102호 (신내동),서울특별시 중랑구 신내동 262-1 지하1층 RB102호 (신내동),37.61740115,127.1040448
새솔공인중개사사무소,서울특별시 중랑구 용마산로139다길 3-6,서울특별시 중랑구 신내동 286-8,37.61739758,127.1012017
신내5단지부동산 공인중개사사무소,서울특별시 중랑구 신내로21길 6 상가동 205호(묵동),서울특별시 중랑구 묵동 20 상가동 205호(묵동),37.6173939,127.0901235
봉화산역 공인중개사사무소,서울특별시 중랑구 신내로21길 6 상가동 101호(묵동),서울특별시 중랑구 묵동 20 상가동 101호(묵동),37.6173939,127.0901235
두림공인중개사사무소,서울특별시 중랑구 신내로21길 6,서울특별시 중랑구 묵동 20,37.6173939,127.0901235
대한공인중개사사무소,서울특별시 중랑구 신내로21길 6,서울특별시 중랑구 묵동 20,37.6173939,127.0901235
대림부동산공인중개사사무소,서울특별시 중랑구 신내로21길 6 상가동 103호,서울특별시 중랑구 묵동 20 상가동 103호,37.6173939,127.0901235
현대공인중개사사무소,"서울특별시 중랑구 신내로21길 6 상가동 104호(묵동, 대림두산아파트)",서울특별시 중랑구 묵동 20 신내대림두산아파트 상가동 104호,37.6173939,127.0901235
신대림부동산공인중개사사무소,서울특별시 중랑구 공릉로12가길 46-11 1층(묵동),서울특별시 중랑구 묵동 153-32 1층(묵동),37.61738956,127.0825682
학사공인중개사사무소,서울특별시 중랑구 용마산로139나길 27-2 (신내동),서울특별시 중랑구 신내동 278-82,37.61734938,127.1019725
대림부동산공인중개사사무소,서울특별시 중랑구 공릉로12가길 46-13,서울특별시 중랑구 묵동 153-31,37.61733647,127.0826935
참소망부동산공인중개사사무소,"서울특별시 성북구 돌곶이로37길 6 , 1층(장위동)",,37.61731253,127.0478627
편한부동산중개사무소,"서울특별시 중랑구 공릉로12가길 25 ,1층(묵동)","서울특별시 중랑구 묵동 156-25 ,1층(묵동)",37.61710535,127.080814
승지부동산공인중개사사무소,서울특별시 중랑구 숙선옹주로9길 45-8,서울특별시 중랑구 묵동 50-3,37.61708972,127.0834549
월드(단지내)공인중개사사무소,서울특별시 성북구 솔샘로25길 20 (정릉동),,37.61694939,127.0081226
우디안시티 공인중개사사무소,"서울특별시 중랑구 신내역로1길 85 110동상가 103호(신내동, 신내우디안1단지아파트)","서울특별시 중랑구 신내동 816 110동상가 103호(신내동, 신내우디안1단지아파트)",37.61691151,127.107211
e조은공인중개사사무소,서울특별시 중랑구 공릉로12가길 15 1층(묵동),서울특별시 중랑구 묵동 157-6 1층(묵동),37.61684135,127.0804341
